,edge-X,max,mean,median,min,rmse,sse,std
edge0.1.txt,0.1,2.210733919,0.281475584,0.195982553,0.007108355,0.415887478,30.96026865,0.30615991
edge0.2.txt,0.2,1.782305334,0.284477005,0.198455295,0.017895192,0.413049825,30.53921827,0.299471187
edge0.3.txt,0.3,2.205907505,0.285814279,0.198081344,0.004066641,0.408786288,29.41069641,0.292260889
edge0.4.txt,0.4,2.205907505,0.285814279,0.198081344,0.004066641,0.408786288,29.41069641,0.292260889
edge0.5.txt,0.5,2.041332594,0.289888646,0.19339295,0.006607648,0.428258505,32.27934114,0.315229948
edge0.6.txt,0.6,2.218946582,0.347640349,0.234305139,0.001763677,0.509114509,37.06525435,0.371945924
edge0.7.txt,0.7,2.212027449,0.296574909,0.197601072,0.003417122,0.419333788,29.36541786,0.296452608
edge0.8.txt,0.8,1.805405,0.346270711,0.271453169,0.011025138,0.466789407,25.27551266,0.31303186
edge0.9.txt,0.9,3.195221097,0.311867758,0.219920122,0.016128668,0.472417542,35.93171181,0.354847623
edg1.txt,1,2.111480246,0.285719552,0.186581943,0.010105361,0.419749123,31.71407871,0.307495795
edge1.1.txt,1.1,2.460812967,0.294463024,0.200658457,0.011620016,0.43531369,32.97265347,0.320608072
edge1.2.txt,1.2,1.184438332,0.29886335,0.201249342,0.001427344,0.401364952,27.06376261,0.267907677
edge1.3.txt,1.3,1.795327991,0.284928381,0.195714792,0.00226521,0.395338571,27.1949099,0.274059124
edge1.4.txt,1.4,2.461274573,0.305998311,0.221701445,0.00951283,0.446840485,33.54395835,0.325624711
edge1.5.txt,1.5,1.837622782,0.327119572,0.211064165,0.002613645,0.458816416,31.7873881,0.32172238
edge1.6.txt,1.6,2.213536559,0.29620397,0.200821915,0.001147982,0.416405984,29.47697035,0.29267243
edge1.7.txt,1.7,2.208222916,0.302013416,0.19881729,0.001926413,0.425767333,30.27339624,0.300109511
edge1.8.txt,1.8,2.210992005,0.301669966,0.20293871,0.001583207,0.427494434,30.1539961,0.302897215
edge1.9.txt,1.9,2.215078089,0.282957493,0.197123716,0.007493568,0.418981672,31.42266975,0.308999511
edge2.txt,2,1.869366012,0.327583869,0.219265589,0.002234718,0.474606211,35.13916463,0.343423738
edge3.txt,3,2.214448815,0.292799469,0.193208097,0.007678984,0.427241787,31.76118482,0.311133438
edge4.txt,4,2.258645584,0.314373185,0.230890197,0.00941535,0.461995101,34.79063408,0.338539471
edge5.txt,5,2.369025366,0.385869704,0.255145031,0.005895461,0.554919842,39.10787591,0.398798949
